region_id,region_label,region_bbox_cx,region_bbox_cy,region_bbox_cz,region_bbox_xlength,region_bbox_ylength,region_bbox_zlength,region_bbox_heading
0,Living room,-2.0243763490654914,-4.3849667082431125,2.549048339593339,33.050914576426266,16.099565967443056,6.128608790907467,0
1,Dining room,-3.6226118364579056,0.509174966687814,1.35152900866204,4.330676635358872,4.951351010143412,2.8455129294238923,0
2,Bedroom,-8.522915972397357,1.8434573511913057,1.8263346970806653,5.315899666538257,3.7011320874882143,3.899935166517272,0
3,Garage,-13.011913398518871,-1.7168353931869431,1.37245769461002,11.091687291514233,9.534592759041322,3.0986839148534955,0
4,Unknown room,-6.708954659695202,-3.032880788941325,1.3940670275714404,8.083033459237598,7.6498413852976945,2.825346191462457,0
5,Unknown room,-6.8192368015069285,-0.9917310116162683,1.3331010246659205,1.7174972560397554,1.9440550142367257,2.905729081234255,0
6,Bathroom,-9.537774109800964,-4.385222615952827,1.3799136013880446,2.0784015363743436,2.255629751371038,2.800141880129129,0
7,Kitchen,-2.729854132303281,-7.14675362739301,2.1561307487728345,10.147322196763511,8.138867348769447,4.516871363375945,0
8,Living room,-9.73166584812458,-9.610486448350288,1.2522162191536887,5.358718232884367,5.904281386275162,3.0194491796200857,0
9,Unknown room,-12.025881557665832,-3.7494945470469148,1.3802344150344745,4.16364835095602,14.793283455340756,2.9687785433096776,0
10,Unknown room,-15.733558240308591,-4.221437654957629,1.2804523003499197,4.583011190860571,14.129508565361242,3.08733603762322,0
11,Hall/stairwell,-12.80613507733685,-8.346841708527526,2.871538195801967,10.052377771859422,5.503585726163994,5.79864822242409,0
12,Bedroom,-9.391056438677662,-9.101343134797055,3.9404613198303777,6.828983660666744,6.782435816149663,3.409057122792089,0
13,Bathroom,-5.222413706193495,-7.657420299020366,4.253937749762101,1.796196141925554,4.059774444020846,2.781986117074167,0
14,Unknown room,-8.169631648415866,-6.209352461554677,4.347022683367733,4.079801591138491,1.2215863094738406,2.4986223019837155,0
15,Bedroom,-2.6717633863597925,0.918412002291106,1.376444130600278,16.971491869167764,5.723424226878947,2.776986499270145,0
16,Bathroom,6.826663470436118,1.5500425554083308,1.7617394975419776,2.2179735297233343,4.181969446353182,3.7384749336264425,0
17,Office,10.143514134062915,0.8496330083040649,1.3259638300116507,8.75121362238854,5.635424016914277,2.978932745450048,0
18,Bedroom,6.328526772886844,-5.9196620693471145,1.3542090291013618,6.689407231633734,5.637874994523051,2.8201988375249956,0
19,Unknown room,5.015280700523114,-1.1814531468698313,1.3929989622531405,4.511648383349247,4.1821742985006765,2.8083693606377422,0
20,Unknown room,8.929389664629548,-1.0123226122305193,1.3804531747850886,5.754954608811023,7.893482188419342,2.9286563872359896,0
21,Bathroom,11.97572179341077,-6.349156764885041,1.3630412178574174,4.834791678271587,4.684709856196015,2.8850897032770977,0
22,Bathroom,13.246034474471479,-2.879108945965702,1.4271405253789717,2.5367328377619724,5.982716169841031,2.952666139094792,0
